,0
302,IGKV6-21
303,IGKV6D-21
304,IGKV6D-41
305,IGKV7-3
313,IGLCOR22-1
314,IGLCOR22-2
315,IGLJ1
316,IGLJ2
317,IGLJ3
318,IGLJ4
319,IGLJ5
320,IGLJ6
321,IGLJ7
322,IGLL5
323,IGLV1-36
324,IGLV1-40
325,IGLV1-41
326,IGLV1-44
327,IGLV1-47
328,IGLV1-50
329,IGLV1-51
330,IGLV1-62
331,IGLV10-54
332,IGLV10-67
333,IGLV11-55
334,IGLV2-11
335,IGLV2-14
336,IGLV2-18
337,IGLV2-23
338,IGLV2-28
339,IGLV2-33
340,IGLV2-34
341,IGLV2-5
342,IGLV2-8
343,IGLV3-1
344,IGLV3-10
345,IGLV3-12
346,IGLV3-13
347,IGLV3-15
348,IGLV3-16
349,IGLV3-17
350,IGLV3-19
351,IGLV3-2
352,IGLV3-21
353,IGLV3-22
354,IGLV3-24
355,IGLV3-25
356,IGLV3-26
357,IGLV3-27
358,IGLV3-29
359,IGLV3-30
360,IGLV3-31
361,IGLV3-32
362,IGLV3-4
363,IGLV3-6
364,IGLV3-7
365,IGLV3-9
366,IGLV4-3
367,IGLV4-60
368,IGLV4-69
369,IGLV5-37
370,IGLV5-45
371,IGLV5-48
372,IGLV5-52
373,IGLV6-57
374,IGLV7-35
375,IGLV7-43
376,IGLV7-46
377,IGLV8-61
378,IGLV8OR8-1
379,IGLV9-49
380,IGLVI-20
381,IGLVI-38
382,IGLVI-42
383,IGLVI-56
384,IGLVI-63
385,IGLVI-68
386,IGLVI-70
387,IGLVIV-53
388,IGLVIV-59
389,IGLVIV-64
390,IGLVIV-65
391,IGLVIV-66-1
392,IGLVIVOR22-1
393,IGLVIVOR22-2
394,IGLVV-58
395,IGLVV-66
396,IGLVVI-22-1
397,IGLVVI-25-1
398,IGLVVII-41-1
399,TRAC
400,TRAJ1
401,TRAJ10
402,TRAJ11
403,TRAJ12
404,TRAJ13
405,TRAJ14
406,TRAJ16
407,TRAJ17
408,TRAJ18
409,TRAJ19
